Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,"Other people in need of international protection"
2021,India,Guinea,IND,GIN,0,11,0
2021,India,"Cote d'Ivoire",IND,CIV,5,176,0
2021,India,"Iran (Islamic Rep. of)",IND,IRN,58,44,0
2021,India,Iraq,IND,IRQ,150,47,0
2021,India,Kenya,IND,KEN,0,35,0
2021,India,Liberia,IND,LBR,0,5,0
2021,India,Libya,IND,LBY,8,6,0
2021,India,"Sri Lanka",IND,LKA,92431,0,0
2021,India,Maldives,IND,MDV,5,0,0
2021,India,Myanmar,IND,MMR,35832,3785,0
2021,India,Nigeria,IND,NGA,0,552,0
2021,India,"Russian Federation",IND,RUS,0,15,0
2021,India,Rwanda,IND,RWA,5,10,0
2021,India,"Saudi Arabia",IND,SAU,5,0,0
2021,India,Senegal,IND,SEN,0,28,0
2021,India,"Sierra Leone",IND,SLE,0,8,0
2021,India,Somalia,IND,SOM,497,279,0
2021,India,"South Sudan",IND,SSD,5,100,0
2021,India,Stateless,IND,XXA,0,0,0
2021,India,Sudan,IND,SDN,61,144,0
2021,India,"Syrian Arab Rep.",IND,SYR,69,64,0
2021,India,"United Rep. of Tanzania",IND,TZA,0,13,0
2021,India,Tajikistan,IND,TJK,0,5,0
2021,India,Turkmenistan,IND,TKM,0,5,0
2021,India,Türkiye,IND,TUR,8,0,0
2021,India,Uganda,IND,UGA,0,38,0
2021,India,Ukraine,IND,UKR,0,5,0
2021,India,Uzbekistan,IND,UZB,0,10,0
2021,India,"Venezuela (Bolivarian Republic of)",IND,VEN,5,6,0
2021,India,Yemen,IND,YEM,9,898,0
2024,India,Afghanistan,IND,AFG,8671,1093,0
2024,India,Egypt,IND,EGY,0,5,0
2024,India,Bangladesh,IND,BGD,9,0,0
2024,India,China,IND,CHN,63169,0,0
2024,India,Cameroon,IND,CMR,80,133,0
2024,India,Congo,IND,COG,0,17,0
2024,India,"Dem. Rep. of the Congo",IND,COD,80,115,0
2024,India,Eritrea,IND,ERI,8,10,0
2024,India,Ethiopia,IND,ETH,23,59,0
2024,India,"State of Palestine",IND,PSE,37,15,0
2024,India,Ghana,IND,GHA,0,5,0
2024,India,"Cote d'Ivoire",IND,CIV,0,71,0
2024,India,"Iran (Islamic Rep. of)",IND,IRN,50,83,0
2024,India,Iraq,IND,IRQ,92,29,0
2024,India,Kenya,IND,KEN,0,5,0
2024,India,Liberia,IND,LBR,0,6,0
2024,India,"Sri Lanka",IND,LKA,90365,0,0
2024,India,Maldives,IND,MDV,5,0,0
2024,India,Myanmar,IND,MMR,72826,8856,0
2024,India,Nigeria,IND,NGA,0,22,0
2024,India,"Russian Federation",IND,RUS,0,145,0
2024,India,Rwanda,IND,RWA,5,0,0
2024,India,Senegal,IND,SEN,0,5,0
2024,India,"Sierra Leone",IND,SLE,0,5,0
2024,India,Somalia,IND,SOM,508,618,0
2024,India,"South Sudan",IND,SSD,10,26,0
2024,India,Stateless,IND,XXA,0,0,0
2024,India,Sudan,IND,SDN,200,1265,0
2024,India,"Syrian Arab Rep.",IND,SYR,46,89,0
2024,India,"United Rep. of Tanzania",IND,TZA,0,6,0
2024,India,Tajikistan,IND,TJK,5,0,0
2024,India,Turkmenistan,IND,TKM,0,5,0
2024,India,Türkiye,IND,TUR,5,0,0
2024,India,Uganda,IND,UGA,5,61,0
2024,India,Ukraine,IND,UKR,0,89,0
2024,India,"Venezuela (Bolivarian Republic of)",IND,VEN,5,5,0
2024,India,Yemen,IND,YEM,559,400,0
2025,India,Afghanistan,IND,AFG,8254,890,0
2025,India,Bangladesh,IND,BGD,9,0,0
2025,India,Belarus,IND,BLR,0,5,0
2025,India,China,IND,CHN,63169,0,0
2025,India,Cameroon,IND,CMR,79,136,0
2025,India,Congo,IND,COG,0,25,0
2025,India,"Dem. Rep. of the Congo",IND,COD,79,111,0
2025,India,Djibouti,IND,DJI,0,6,0
2025,India,Eritrea,IND,ERI,7,8,0
2025,India,Ethiopia,IND,ETH,20,57,0
2025,India,"State of Palestine",IND,PSE,38,19,0
2025,India,Ghana,IND,GHA,0,5,0
2025,India,"Cote d'Ivoire",IND,CIV,0,21,0
2025,India,"Iran (Islamic Rep. of)",IND,IRN,49,65,0
2025,India,Iraq,IND,IRQ,85,34,0
2025,India,Liberia,IND,LBR,0,5,0
2025,India,"Sri Lanka",IND,LKA,89863,0,0
2025,India,Maldives,IND,MDV,5,0,0
2025,India,Myanmar,IND,MMR,73898,9839,0
2025,India,"Russian Federation",IND,RUS,0,306,0
2025,India,Rwanda,IND,RWA,5,0,0
2025,India,Senegal,IND,SEN,0,5,0
2025,India,"Sierra Leone",IND,SLE,0,5,0
2025,India,Somalia,IND,SOM,497,753,0
2025,India,"South Sudan",IND,SSD,10,36,0
2025,India,Stateless,IND,XXA,0,0,0
2025,India,Sudan,IND,SDN,189,1237,0
2025,India,"Syrian Arab Rep.",IND,SYR,40,127,0
2025,India,"United Rep. of Tanzania",IND,TZA,0,5,0
2025,India,Tajikistan,IND,TJK,5,0,0
2025,India,Turkmenistan,IND,TKM,0,5,0
2025,India,Türkiye,IND,TUR,5,0,0
2025,India,Uganda,IND,UGA,5,54,0
2025,India,Ukraine,IND,UKR,0,93,0
2025,India,"Venezuela (Bolivarian Republic of)",IND,VEN,5,5,0
2025,India,Yemen,IND,YEM,562,458,0
2023,India,Afghanistan,IND,AFG,10109,2115,0
2023,India,Egypt,IND,EGY,0,6,0
2023,India,Armenia,IND,ARM,0,5,0
2023,India,Burundi,IND,BDI,0,10,0
2023,India,Bangladesh,IND,BGD,12,0,0
2023,India,Belarus,IND,BLR,0,5,0
2023,India,"Bosnia and Herzegovina",IND,BIH,0,5,0
2023,India,Chad,IND,TCD,0,5,0
2023,India,China,IND,CHN,73406,0,0
2023,India,Cameroon,IND,CMR,64,172,0
2023,India,Congo,IND,COG,6,19,0
2023,India,"Dem. Rep. of the Congo",IND,COD,91,143,0
2023,India,Eritrea,IND,ERI,9,9,0
2023,India,Ethiopia,IND,ETH,24,63,0
2023,India,"State of Palestine",IND,PSE,47,5,0
2023,India,Ghana,IND,GHA,0,27,0
2023,India,Guinea,IND,GIN,0,5,0
2023,India,"Cote d'Ivoire",IND,CIV,5,136,0
2023,India,"Iran (Islamic Rep. of)",IND,IRN,56,140,0
2023,India,Iraq,IND,IRQ,116,37,0
2023,India,Kenya,IND,KEN,0,25,0
2023,India,Liberia,IND,LBR,0,8,0
2023,India,"Sri Lanka",IND,LKA,91166,0,0
2023,India,Maldives,IND,MDV,5,0,0
2023,India,Myanmar,IND,MMR,76513,7243,0
2023,India,Nigeria,IND,NGA,0,185,0
2023,India,"Russian Federation",IND,RUS,0,62,0
2023,India,Rwanda,IND,RWA,5,6,0
2023,India,"Saudi Arabia",IND,SAU,5,0,0
2023,India,Senegal,IND,SEN,0,12,0
2023,India,"Sierra Leone",IND,SLE,0,7,0
2023,India,Somalia,IND,SOM,533,359,0
2023,India,"South Sudan",IND,SSD,5,23,0
2023,India,Stateless,IND,XXA,0,0,0
2023,India,Sudan,IND,SDN,151,660,0
2023,India,"Syrian Arab Rep.",IND,SYR,56,91,0
2023,India,"United Rep. of Tanzania",IND,TZA,0,11,0
2023,India,Tajikistan,IND,TJK,5,0,0
2023,India,Turkmenistan,IND,TKM,0,5,0
2023,India,Türkiye,IND,TUR,5,0,0
2023,India,Uganda,IND,UGA,0,49,0
2023,India,Ukraine,IND,UKR,0,66,0
2023,India,Uzbekistan,IND,UZB,0,5,0
2023,India,"Venezuela (Bolivarian Republic of)",IND,VEN,5,5,0
2023,India,Yemen,IND,YEM,468,197,0
2022,India,Afghanistan,IND,AFG,9858,5181,0
2022,India,Egypt,IND,EGY,0,6,0
2022,India,Burundi,IND,BDI,0,5,0
2022,India,Bangladesh,IND,BGD,8,0,0
2022,India,"Bosnia and Herzegovina",IND,BIH,0,5,0
2022,India,China,IND,CHN,72294,0,0
2022,India,Cameroon,IND,CMR,31,250,0
2022,India,Congo,IND,COG,11,30,0
2022,India,"Dem. Rep. of the Congo",IND,COD,76,150,0
2022,India,Eritrea,IND,ERI,13,14,0
2022,India,Ethiopia,IND,ETH,26,67,0
2022,India,"State of Palestine",IND,PSE,48,14,0
2022,India,Ghana,IND,GHA,0,66,0
2022,India,Guinea,IND,GIN,0,11,0
2022,India,"Cote d'Ivoire",IND,CIV,5,180,0
2022,India,"Iran (Islamic Rep. of)",IND,IRN,60,100,0
2022,India,Iraq,IND,IRQ,137,41,0
2022,India,Kenya,IND,KEN,0,34,0
2022,India,Liberia,IND,LBR,0,5,0
2022,India,Libya,IND,LBY,8,6,0
2022,India,"Sri Lanka",IND,LKA,92072,0,0
2022,India,Maldives,IND,MDV,5,0,0
2022,India,Myanmar,IND,MMR,67482,7125,0
2022,India,Nigeria,IND,NGA,0,557,0
2022,India,"Russian Federation",IND,RUS,0,34,0
2022,India,Rwanda,IND,RWA,5,10,0
2022,India,"Saudi Arabia",IND,SAU,5,0,0
2022,India,Senegal,IND,SEN,0,28,0
2022,India,"Sierra Leone",IND,SLE,0,8,0
2022,India,Somalia,IND,SOM,508,370,0
2022,India,"South Sudan",IND,SSD,5,105,0
2022,India,Stateless,IND,XXA,0,0,0
2022,India,Sudan,IND,SDN,82,169,0
2022,India,"Syrian Arab Rep.",IND,SYR,71,74,0
2022,India,"United Rep. of Tanzania",IND,TZA,0,12,0
2022,India,Tajikistan,IND,TJK,0,5,0
2022,India,Türkiye,IND,TUR,5,0,0
2022,India,Uganda,IND,UGA,0,38,0
2022,India,Ukraine,IND,UKR,0,58,0
2022,India,Uzbekistan,IND,UZB,0,12,0
2022,India,"Venezuela (Bolivarian Republic of)",IND,VEN,5,6,0
2022,India,Yemen,IND,YEM,15,1018,0
